site,timestamp,generation_kwh,consumption_kwh,grid_import_kwh,grid_export_kwh
Muriwai 5kW + Batteries,2026-09-01T15:30:00+12:00,0.781,0.136,0.0,0.645
Muriwai 5kW + Batteries,2026-09-01T16:00:00+12:00,0.696,0.174,0.0,0.522
Muriwai 5kW + Batteries,2026-09-01T16:30:00+12:00,0.607,0.21,0.0,0.398
Muriwai 5kW + Batteries,2026-09-01T17:00:00+12:00,0.509,0.246,0.0,0.263
Muriwai 5kW + Batteries,2026-09-01T17:30:00+12:00,0.398,0.282,0.0,0.117
Muriwai 5kW + Batteries,2026-09-01T18:00:00+12:00,0.301,0.306,0.016,0.012
Muriwai 5kW + Batteries,2026-09-01T18:30:00+12:00,0.203,0.302,0.099,0.0
Muriwai 5kW + Batteries,2026-09-01T19:00:00+12:00,0.106,0.279,0.174,0.0
Muriwai 5kW + Batteries,2026-09-01T19:30:00+12:00,0.031,0.256,0.226,0.0
Muriwai 5kW + Batteries,2026-09-01T20:00:00+12:00,0.0,0.22,0.22,0.0
Muriwai 5kW + Batteries,2026-09-01T20:30:00+12:00,0.0,0.176,0.176,0.0
Muriwai 5kW + Batteries,2026-09-01T21:00:00+12:00,0.0,0.142,0.142,0.0
Muriwai 5kW + Batteries,2026-09-01T21:30:00+12:00,0.0,0.116,0.116,0.0
Muriwai 5kW + Batteries,2026-09-01T22:00:00+12:00,0.0,0.099,0.099,0.0
Muriwai 5kW + Batteries,2026-09-01T22:30:00+12:00,0.0,0.082,0.082,0.0
Muriwai 5kW + Batteries,2026-09-01T23:00:00+12:00,0.0,0.079,0.079,0.0
Muriwai 5kW + Batteries,2026-09-01T23:30:00+12:00,0.0,0.079,0.079,0.0
Muriwai 5kW + Batteries,2026-09-02T00:00:00+12:00,0.0,0.12,0.12,0.0
Muriwai 5kW + Batteries,2026-09-02T00:30:00+12:00,0.0,0.142,0.142,0.0
Muriwai 5kW + Batteries,2026-09-02T01:00:00+12:00,0.0,0.128,0.128,0.0
Muriwai 5kW + Batteries,2026-09-02T01:30:00+12:00,0.0,0.118,0.118,0.0
Muriwai 5kW + Batteries,2026-09-02T02:00:00+12:00,0.0,0.119,0.119,0.0
Muriwai 5kW + Batteries,2026-09-02T02:30:00+12:00,0.0,0.122,0.122,0.0
Muriwai 5kW + Batteries,2026-09-02T03:00:00+12:00,0.0,0.121,0.121,0.0
Muriwai 5kW + Batteries,2026-09-02T03:30:00+12:00,0.0,0.131,0.131,0.0
Muriwai 5kW + Batteries,2026-09-02T04:00:00+12:00,0.0,0.127,0.127,0.0
Muriwai 5kW + Batteries,2026-09-02T04:30:00+12:00,0.0,0.156,0.156,0.0
Muriwai 5kW + Batteries,2026-09-02T05:00:00+12:00,0.0,0.165,0.165,0.0
Muriwai 5kW + Batteries,2026-09-02T05:30:00+12:00,0.0,0.206,0.206,0.0
Muriwai 5kW + Batteries,2026-09-02T06:00:00+12:00,0.017,0.267,0.25,0.0
Muriwai 5kW + Batteries,2026-09-02T06:30:00+12:00,0.074,0.324,0.249,0.0
Muriwai 5kW + Batteries,2026-09-02T07:00:00+12:00,0.146,0.36,0.214,0.0
Muriwai 5kW + Batteries,2026-09-02T07:30:00+12:00,0.227,0.368,0.141,0.0
Muriwai 5kW + Batteries,2026-09-02T08:00:00+12:00,0.313,0.325,0.025,0.014
Muriwai 5kW + Batteries,2026-09-02T08:30:00+12:00,0.398,0.278,0.0,0.12
Muriwai 5kW + Batteries,2026-09-02T09:00:00+12:00,0.47,0.221,0.0,0.249
Muriwai 5kW + Batteries,2026-09-02T09:30:00+12:00,0.551,0.169,0.0,0.381
Muriwai 5kW + Batteries,2026-09-02T10:00:00+12:00,0.628,0.153,0.0,0.475
Muriwai 5kW + Batteries,2026-09-02T10:30:00+12:00,0.681,0.141,0.0,0.541
Muriwai 5kW + Batteries,2026-09-02T11:00:00+12:00,0.739,0.137,0.0,0.602
Muriwai 5kW + Batteries,2026-09-02T11:30:00+12:00,0.762,0.135,0.0,0.627
Muriwai 5kW + Batteries,2026-09-02T12:00:00+12:00,0.78,0.134,0.0,0.646
Muriwai 5kW + Batteries,2026-09-02T12:30:00+12:00,0.797,0.133,0.0,0.663
Muriwai 5kW + Batteries,2026-09-02T13:00:00+12:00,0.816,0.135,0.0,0.682
Muriwai 5kW + Batteries,2026-09-02T13:30:00+12:00,0.787,0.151,0.0,0.636
Muriwai 5kW + Batteries,2026-09-02T14:00:00+12:00,0.782,0.164,0.0,0.619
Muriwai 5kW + Batteries,2026-09-02T14:30:00+12:00,0.736,0.179,0.0,0.557
Muriwai 5kW + Batteries,2026-09-02T15:00:00+12:00,0.708,0.215,0.0,0.493
Muriwai 5kW + Batteries,2026-09-02T15:30:00+12:00,0.63,0.274,0.0,0.356
Muriwai 5kW + Batteries,2026-09-02T16:00:00+12:00,0.548,0.329,0.0,0.219
Muriwai 5kW + Batteries,2026-09-02T16:30:00+12:00,0.477,0.406,0.0,0.071
Muriwai 5kW + Batteries,2026-09-02T17:00:00+12:00,0.412,0.461,0.053,0.005
Muriwai 5kW + Batteries,2026-09-02T17:30:00+12:00,0.32,0.531,0.211,0.0
Muriwai 5kW + Batteries,2026-09-02T18:00:00+12:00,0.238,0.555,0.318,0.0
Muriwai 5kW + Batteries,2026-09-02T18:30:00+12:00,0.154,0.565,0.411,0.0
Muriwai 5kW + Batteries,2026-09-02T19:00:00+12:00,0.085,0.531,0.446,0.0
Muriwai 5kW + Batteries,2026-09-02T19:30:00+12:00,0.025,0.475,0.449,0.0
Muriwai 5kW + Batteries,2026-09-02T20:00:00+12:00,0.0,0.41,0.41,0.0
Muriwai 5kW + Batteries,2026-09-02T20:30:00+12:00,0.0,0.334,0.334,0.0
Muriwai 5kW + Batteries,2026-09-02T21:00:00+12:00,0.0,0.261,0.261,0.0
Muriwai 5kW + Batteries,2026-09-02T21:30:00+12:00,0.0,0.226,0.226,0.0
Muriwai 5kW + Batteries,2026-09-02T22:00:00+12:00,0.0,0.184,0.184,0.0
Muriwai 5kW + Batteries,2026-09-02T22:30:00+12:00,0.0,0.157,0.157,0.0
Muriwai 5kW + Batteries,2026-09-02T23:00:00+12:00,0.0,0.128,0.128,0.0
Muriwai 5kW + Batteries,2026-09-02T23:30:00+12:00,0.0,0.133,0.133,0.0
Muriwai 5kW + Batteries,2026-09-03T00:00:00+12:00,0.0,0.082,0.082,0.0
Muriwai 5kW + Batteries,2026-09-03T00:30:00+12:00,0.0,0.089,0.089,0.0
Muriwai 5kW + Batteries,2026-09-03T01:00:00+12:00,0.0,0.088,0.088,0.0
Muriwai 5kW + Batteries,2026-09-03T01:30:00+12:00,0.0,0.089,0.089,0.0
Muriwai 5kW + Batteries,2026-09-03T02:00:00+12:00,0.0,0.088,0.088,0.0
Muriwai 5kW + Batteries,2026-09-03T02:30:00+12:00,0.0,0.092,0.092,0.0
Muriwai 5kW + Batteries,2026-09-03T03:00:00+12:00,0.0,0.089,0.089,0.0
Muriwai 5kW + Batteries,2026-09-03T03:30:00+12:00,0.0,0.097,0.097,0.0
Muriwai 5kW + Batteries,2026-09-03T04:00:00+12:00,0.0,0.095,0.095,0.0
Muriwai 5kW + Batteries,2026-09-03T04:30:00+12:00,0.0,0.098,0.098,0.0
Muriwai 5kW + Batteries,2026-09-03T05:00:00+12:00,0.0,0.118,0.118,0.0
Muriwai 5kW + Batteries,2026-09-03T05:30:00+12:00,0.0,0.147,0.147,0.0
Muriwai 5kW + Batteries,2026-09-03T06:00:00+12:00,0.017,0.181,0.164,0.0
Muriwai 5kW + Batteries,2026-09-03T06:30:00+12:00,0.074,0.223,0.149,0.0
Muriwai 5kW + Batteries,2026-09-03T07:00:00+12:00,0.149,0.243,0.094,0.0
Muriwai 5kW + Batteries,2026-09-03T07:30:00+12:00,0.234,0.251,0.021,0.004
Muriwai 5kW + Batteries,2026-09-03T08:00:00+12:00,0.313,0.232,0.0,0.081
Muriwai 5kW + Batteries,2026-09-03T08:30:00+12:00,0.398,0.184,0.0,0.214
Muriwai 5kW + Batteries,2026-09-03T09:00:00+12:00,0.47,0.153,0.0,0.317
Muriwai 5kW + Batteries,2026-09-03T09:30:00+12:00,0.552,0.119,0.0,0.433
Muriwai 5kW + Batteries,2026-09-03T10:00:00+12:00,0.611,0.099,0.0,0.512
Muriwai 5kW + Batteries,2026-09-03T10:30:00+12:00,0.683,0.087,0.0,0.596
Muriwai 5kW + Batteries,2026-09-03T11:00:00+12:00,0.744,0.091,0.0,0.653
Muriwai 5kW + Batteries,2026-09-03T11:30:00+12:00,0.771,0.096,0.0,0.675
Muriwai 5kW + Batteries,2026-09-03T12:00:00+12:00,0.779,0.093,0.0,0.685
Muriwai 5kW + Batteries,2026-09-03T12:30:00+12:00,0.829,0.09,0.0,0.738
Muriwai 5kW + Batteries,2026-09-03T13:00:00+12:00,0.829,0.097,0.0,0.733
Muriwai 5kW + Batteries,2026-09-03T13:30:00+12:00,0.803,0.097,0.0,0.707
Muriwai 5kW + Batteries,2026-09-03T14:00:00+12:00,0.778,0.114,0.0,0.664
Muriwai 5kW + Batteries,2026-09-03T14:30:00+12:00,0.735,0.13,0.0,0.605
Muriwai 5kW + Batteries,2026-09-03T15:00:00+12:00,0.684,0.149,0.0,0.535
Muriwai 5kW + Batteries,2026-09-03T15:30:00+12:00,0.638,0.182,0.0,0.455
Muriwai 5kW + Batteries,2026-09-03T16:00:00+12:00,0.57,0.227,0.0,0.343
Muriwai 5kW + Batteries,2026-09-03T16:30:00+12:00,0.48,0.282,0.0,0.198
Muriwai 5kW + Batteries,2026-09-03T17:00:00+12:00,0.415,0.331,0.0,0.084
Muriwai 5kW + Batteries,2026-09-03T17:30:00+12:00,0.315,0.373,0.058,0.0
Muriwai 5kW + Batteries,2026-09-03T18:00:00+12:00,0.243,0.389,0.146,0.0
Muriwai 5kW + Batteries,2026-09-03T18:30:00+12:00,0.161,0.399,0.238,0.0
Muriwai 5kW + Batteries,2026-09-03T19:00:00+12:00,0.085,0.376,0.291,0.0
Muriwai 5kW + Batteries,2026-09-03T19:30:00+12:00,0.025,0.337,0.313,0.0
Muriwai 5kW + Batteries,2026-09-03T20:00:00+12:00,0.0,0.285,0.285,0.0
Muriwai 5kW + Batteries,2026-09-03T20:30:00+12:00,0.0,0.229,0.229,0.0
Muriwai 5kW + Batteries,2026-09-03T21:00:00+12:00,0.0,0.195,0.195,0.0
Muriwai 5kW + Batteries,2026-09-03T21:30:00+12:00,0.0,0.15,0.15,0.0
Muriwai 5kW + Batteries,2026-09-03T22:00:00+12:00,0.0,0.123,0.123,0.0
Muriwai 5kW + Batteries,2026-09-03T22:30:00+12:00,0.0,0.115,0.115,0.0
Muriwai 5kW + Batteries,2026-09-03T23:00:00+12:00,0.0,0.103,0.103,0.0
Muriwai 5kW + Batteries,2026-09-03T23:30:00+12:00,0.0,0.097,0.097,0.0
Muriwai 5kW + Batteries,2026-09-04T00:00:00+12:00,0.0,0.068,0.068,0.0
Muriwai 5kW + Batteries,2026-09-04T00:30:00+12:00,0.0,0.07,0.07,0.0
Muriwai 5kW + Batteries,2026-09-04T01:00:00+12:00,0.0,0.071,0.071,0.0
Muriwai 5kW + Batteries,2026-09-04T01:30:00+12:00,0.0,0.071,0.071,0.0
Muriwai 5kW + Batteries,2026-09-04T02:00:00+12:00,0.0,0.065,0.065,0.0
Muriwai 5kW + Batteries,2026-09-04T02:30:00+12:00,0.0,0.066,0.066,0.0
Muriwai 5kW + Batteries,2026-09-04T03:00:00+12:00,0.0,0.074,0.074,0.0
Muriwai 5kW + Batteries,2026-09-04T03:30:00+12:00,0.0,0.072,0.072,0.0
Muriwai 5kW + Batteries,2026-09-04T04:00:00+12:00,0.0,0.081,0.081,0.0
Muriwai 5kW + Batteries,2026-09-04T04:30:00+12:00,0.0,0.077,0.077,0.0
Muriwai 5kW + Batteries,2026-09-04T05:00:00+12:00,0.0,0.088,0.088,0.0
Muriwai 5kW + Batteries,2026-09-04T05:30:00+12:00,0.0,0.111,0.111,0.0
Muriwai 5kW + Batteries,2026-09-04T06:00:00+12:00,0.022,0.136,0.114,0.0
Muriwai 5kW + Batteries,2026-09-04T06:30:00+12:00,0.098,0.17,0.072,0.0
Muriwai 5kW + Batteries,2026-09-04T07:00:00+12:00,0.186,0.191,0.016,0.011
Muriwai 5kW + Batteries,2026-09-04T07:30:00+12:00,0.292,0.195,0.0,0.097
Muriwai 5kW + Batteries,2026-09-04T08:00:00+12:00,0.403,0.175,0.0,0.228
Muriwai 5kW + Batteries,2026-09-04T08:30:00+12:00,0.52,0.152,0.0,0.369
Muriwai 5kW + Batteries,2026-09-04T09:00:00+12:00,0.604,0.113,0.0,0.491
Muriwai 5kW + Batteries,2026-09-04T09:30:00+12:00,0.717,0.094,0.0,0.623
Muriwai 5kW + Batteries,2026-09-04T10:00:00+12:00,0.785,0.079,0.0,0.707
Muriwai 5kW + Batteries,2026-09-04T10:30:00+12:00,0.868,0.075,0.0,0.792
Muriwai 5kW + Batteries,2026-09-04T11:00:00+12:00,0.937,0.076,0.0,0.86
Muriwai 5kW + Batteries,2026-09-04T11:30:00+12:00,1.004,0.072,0.0,0.932
Muriwai 5kW + Batteries,2026-09-04T12:00:00+12:00,1.047,0.071,0.0,0.976
Muriwai 5kW + Batteries,2026-09-04T12:30:00+12:00,1.052,0.075,0.0,0.977
Muriwai 5kW + Batteries,2026-09-04T13:00:00+12:00,1.048,0.077,0.0,0.971
Muriwai 5kW + Batteries,2026-09-04T13:30:00+12:00,1.025,0.08,0.0,0.944
Muriwai 5kW + Batteries,2026-09-04T14:00:00+12:00,0.996,0.082,0.0,0.914
Muriwai 5kW + Batteries,2026-09-04T14:30:00+12:00,0.96,0.1,0.0,0.86
Muriwai 5kW + Batteries,2026-09-04T15:00:00+12:00,0.889,0.119,0.0,0.77
Muriwai 5kW + Batteries,2026-09-04T15:30:00+12:00,0.803,0.144,0.0,0.658
Muriwai 5kW + Batteries,2026-09-04T16:00:00+12:00,0.711,0.178,0.0,0.533
Muriwai 5kW + Batteries,2026-09-04T16:30:00+12:00,0.629,0.209,0.0,0.42
Muriwai 5kW + Batteries,2026-09-04T17:00:00+12:00,0.525,0.251,0.0,0.274
Muriwai 5kW + Batteries,2026-09-04T17:30:00+12:00,0.415,0.285,0.0,0.13
Muriwai 5kW + Batteries,2026-09-04T18:00:00+12:00,0.309,0.31,0.014,0.014
Muriwai 5kW + Batteries,2026-09-04T18:30:00+12:00,0.203,0.309,0.107,0.0
Muriwai 5kW + Batteries,2026-09-04T19:00:00+12:00,0.113,0.288,0.175,0.0
Muriwai 5kW + Batteries,2026-09-04T19:30:00+12:00,0.032,0.258,0.225,0.0
Muriwai 5kW + Batteries,2026-09-04T20:00:00+12:00,0.0,0.215,0.215,0.0
Muriwai 5kW + Batteries,2026-09-04T20:30:00+12:00,0.0,0.181,0.181,0.0
Muriwai 5kW + Batteries,2026-09-04T21:00:00+12:00,0.0,0.144,0.144,0.0
Muriwai 5kW + Batteries,2026-09-04T21:30:00+12:00,0.0,0.116,0.116,0.0
Muriwai 5kW + Batteries,2026-09-04T22:00:00+12:00,0.0,0.101,0.101,0.0
Muriwai 5kW + Batteries,2026-09-04T22:30:00+12:00,0.0,0.086,0.086,0.0
Muriwai 5kW + Batteries,2026-09-04T23:00:00+12:00,0.0,0.079,0.079,0.0
Muriwai 5kW + Batteries,2026-09-04T23:30:00+12:00,0.0,0.071,0.071,0.0
Muriwai 5kW + Batteries,2026-09-05T00:00:00+12:00,0.0,0.138,0.138,0.0
Muriwai 5kW + Batteries,2026-09-05T00:30:00+12:00,0.0,0.133,0.133,0.0
Muriwai 5kW + Batteries,2026-09-05T01:00:00+12:00,0.0,0.136,0.136,0.0
Muriwai 5kW + Batteries,2026-09-05T01:30:00+12:00,0.0,0.129,0.129,0.0
Muriwai 5kW + Batteries,2026-09-05T02:00:00+12:00,0.0,0.13,0.13,0.0
Muriwai 5kW + Batteries,2026-09-05T02:30:00+12:00,0.0,0.122,0.122,0.0
Muriwai 5kW + Batteries,2026-09-05T03:00:00+12:00,0.0,0.136,0.136,0.0
Muriwai 5kW + Batteries,2026-09-05T03:30:00+12:00,0.0,0.137,0.137,0.0
Muriwai 5kW + Batteries,2026-09-05T04:00:00+12:00,0.0,0.138,0.138,0.0
Muriwai 5kW + Batteries,2026-09-05T04:30:00+12:00,0.0,0.149,0.149,0.0
Muriwai 5kW + Batteries,2026-09-05T05:00:00+12:00,0.0,0.171,0.171,0.0
Muriwai 5kW + Batteries,2026-09-05T05:30:00+12:00,0.0,0.206,0.206,0.0
Muriwai 5kW + Batteries,2026-09-05T06:00:00+12:00,0.019,0.283,0.264,0.0
Muriwai 5kW + Batteries,2026-09-05T06:30:00+12:00,0.082,0.325,0.243,0.0
Muriwai 5kW + Batteries,2026-09-05T07:00:00+12:00,0.17,0.38,0.21,0.0
Muriwai 5kW + Batteries,2026-09-05T07:30:00+12:00,0.26,0.375,0.114,0.0
Muriwai 5kW + Batteries,2026-09-05T08:00:00+12:00,0.354,0.336,0.01,0.029
Muriwai 5kW + Batteries,2026-09-05T08:30:00+12:00,0.441,0.28,0.0,0.161
Muriwai 5kW + Batteries,2026-09-05T09:00:00+12:00,0.526,0.226,0.0,0.3
Muriwai 5kW + Batteries,2026-09-05T09:30:00+12:00,0.637,0.162,0.0,0.475
Muriwai 5kW + Batteries,2026-09-05T10:00:00+12:00,0.688,0.152,0.0,0.536
Muriwai 5kW + Batteries,2026-09-05T10:30:00+12:00,0.756,0.141,0.0,0.615
Muriwai 5kW + Batteries,2026-09-05T11:00:00+12:00,0.831,0.131,0.0,0.7
Muriwai 5kW + Batteries,2026-09-05T11:30:00+12:00,0.865,0.14,0.0,0.725
Muriwai 5kW + Batteries,2026-09-05T12:00:00+12:00,0.901,0.133,0.0,0.768
Muriwai 5kW + Batteries,2026-09-05T12:30:00+12:00,0.915,0.139,0.0,0.776
Muriwai 5kW + Batteries,2026-09-05T13:00:00+12:00,0.947,0.144,0.0,0.804
Muriwai 5kW + Batteries,2026-09-05T13:30:00+12:00,0.885,0.144,0.0,0.742
Muriwai 5kW + Batteries,2026-09-05T14:00:00+12:00,0.874,0.16,0.0,0.714
Muriwai 5kW + Batteries,2026-09-05T14:30:00+12:00,0.835,0.182,0.0,0.653
Muriwai 5kW + Batteries,2026-09-05T15:00:00+12:00,0.77,0.233,0.0,0.537
Muriwai 5kW + Batteries,2026-09-05T15:30:00+12:00,0.713,0.263,0.0,0.45
Muriwai 5kW + Batteries,2026-09-05T16:00:00+12:00,0.634,0.327,0.0,0.307
Muriwai 5kW + Batteries,2026-09-05T16:30:00+12:00,0.55,0.417,0.0,0.133
Muriwai 5kW + Batteries,2026-09-05T17:00:00+12:00,0.471,0.482,0.026,0.015
Muriwai 5kW + Batteries,2026-09-05T17:30:00+12:00,0.36,0.554,0.194,0.0
Muriwai 5kW + Batteries,2026-09-05T18:00:00+12:00,0.273,0.583,0.31,0.0
Muriwai 5kW + Batteries,2026-09-05T18:30:00+12:00,0.183,0.584,0.401,0.0
Muriwai 5kW + Batteries,2026-09-05T19:00:00+12:00,0.099,0.542,0.443,0.0
Muriwai 5kW + Batteries,2026-09-05T19:30:00+12:00,0.028,0.494,0.466,0.0
Muriwai 5kW + Batteries,2026-09-05T20:00:00+12:00,0.0,0.421,0.421,0.0
Muriwai 5kW + Batteries,2026-09-05T20:30:00+12:00,0.0,0.336,0.336,0.0
Muriwai 5kW + Batteries,2026-09-05T21:00:00+12:00,0.0,0.286,0.286,0.0
Muriwai 5kW + Batteries,2026-09-05T21:30:00+12:00,0.0,0.233,0.233,0.0
Muriwai 5kW + Batteries,2026-09-05T22:00:00+12:00,0.0,0.186,0.186,0.0
Muriwai 5kW + Batteries,2026-09-05T22:30:00+12:00,0.0,0.147,0.147,0.0
Muriwai 5kW + Batteries,2026-09-05T23:00:00+12:00,0.0,0.164,0.164,0.0
Muriwai 5kW + Batteries,2026-09-05T23:30:00+12:00,0.0,0.143,0.143,0.0
Muriwai 5kW + Batteries,2026-09-06T00:00:00+12:00,0.0,0.082,0.082,0.0
Muriwai 5kW + Batteries,2026-09-06T00:30:00+12:00,0.0,0.079,0.079,0.0
Muriwai 5kW + Batteries,2026-09-06T01:00:00+12:00,0.0,0.074,0.074,0.0
Muriwai 5kW + Batteries,2026-09-06T01:30:00+12:00,0.0,0.079,0.079,0.0
Muriwai 5kW + Batteries,2026-09-06T02:00:00+12:00,0.0,0.076,0.076,0.0
Muriwai 5kW + Batteries,2026-09-06T02:30:00+12:00,0.0,0.079,0.079,0.0
Muriwai 5kW + Batteries,2026-09-06T03:00:00+12:00,0.0,0.08,0.08,0.0
Muriwai 5kW + Batteries,2026-09-06T03:30:00+12:00,0.0,0.08,0.08,0.0
Muriwai 5kW + Batteries,2026-09-06T04:00:00+12:00,0.0,0.078,0.078,0.0
Muriwai 5kW + Batteries,2026-09-06T04:30:00+12:00,0.0,0.082,0.082,0.0
Muriwai 5kW + Batteries,2026-09-06T05:00:00+12:00,0.0,0.09,0.09,0.0
Muriwai 5kW + Batteries,2026-09-06T05:30:00+12:00,0.0,0.12,0.12,0.0
Muriwai 5kW + Batteries,2026-09-06T06:00:00+12:00,0.027,0.15,0.123,0.0
Muriwai 5kW + Batteries,2026-09-06T06:30:00+12:00,0.12,0.188,0.068,0.0
Muriwai 5kW + Batteries,2026-09-06T07:00:00+12:00,0.244,0.209,0.004,0.039
Muriwai 5kW + Batteries,2026-09-06T07:30:00+12:00,0.381,0.215,0.0,0.166
Muriwai 5kW + Batteries,2026-09-06T08:00:00+12:00,0.527,0.191,0.0,0.336
Muriwai 5kW + Batteries,2026-09-06T08:30:00+12:00,0.65,0.161,0.0,0.489
Muriwai 5kW + Batteries,2026-09-06T09:00:00+12:00,0.796,0.13,0.0,0.667
Muriwai 5kW + Batteries,2026-09-06T09:30:00+12:00,0.901,0.094,0.0,0.807
Muriwai 5kW + Batteries,2026-09-06T10:00:00+12:00,1.035,0.087,0.0,0.949
Muriwai 5kW + Batteries,2026-09-06T10:30:00+12:00,1.15,0.074,0.0,1.076
Muriwai 5kW + Batteries,2026-09-06T11:00:00+12:00,1.216,0.075,0.0,1.141
Muriwai 5kW + Batteries,2026-09-06T11:30:00+12:00,1.279,0.08,0.0,1.199
Muriwai 5kW + Batteries,2026-09-06T12:00:00+12:00,1.292,0.078,0.0,1.215
Muriwai 5kW + Batteries,2026-09-06T12:30:00+12:00,1.346,0.08,0.0,1.267
Muriwai 5kW + Batteries,2026-09-06T13:00:00+12:00,1.342,0.08,0.0,1.263
Muriwai 5kW + Batteries,2026-09-06T13:30:00+12:00,1.322,0.082,0.0,1.241
Muriwai 5kW + Batteries,2026-09-06T14:00:00+12:00,1.278,0.094,0.0,1.185
Muriwai 5kW + Batteries,2026-09-06T14:30:00+12:00,1.25,0.108,0.0,1.142
Muriwai 5kW + Batteries,2026-09-06T15:00:00+12:00,1.148,0.121,0.0,1.027
Muriwai 5kW + Batteries,2026-09-06T15:30:00+12:00,1.051,0.155,0.0,0.896
Muriwai 5kW + Batteries,2026-09-06T16:00:00+12:00,0.908,0.192,0.0,0.717
Muriwai 5kW + Batteries,2026-09-06T16:30:00+12:00,0.792,0.241,0.0,0.551
Muriwai 5kW + Batteries,2026-09-06T17:00:00+12:00,0.675,0.271,0.0,0.404
Muriwai 5kW + Batteries,2026-09-06T17:30:00+12:00,0.529,0.309,0.0,0.219
Muriwai 5kW + Batteries,2026-09-06T18:00:00+12:00,0.395,0.324,0.0,0.071
Muriwai 5kW + Batteries,2026-09-06T18:30:00+12:00,0.266,0.325,0.06,0.0
Muriwai 5kW + Batteries,2026-09-06T19:00:00+12:00,0.144,0.314,0.17,0.0
Muriwai 5kW + Batteries,2026-09-06T19:30:00+12:00,0.041,0.274,0.233,0.0
Muriwai 5kW + Batteries,2026-09-06T20:00:00+12:00,0.0,0.236,0.236,0.0
Muriwai 5kW + Batteries,2026-09-06T20:30:00+12:00,0.0,0.185,0.185,0.0
Muriwai 5kW + Batteries,2026-09-06T21:00:00+12:00,0.0,0.155,0.155,0.0
Muriwai 5kW + Batteries,2026-09-06T21:30:00+12:00,0.0,0.123,0.123,0.0
Muriwai 5kW + Batteries,2026-09-06T22:00:00+12:00,0.0,0.108,0.108,0.0
Muriwai 5kW + Batteries,2026-09-06T22:30:00+12:00,0.0,0.092,0.092,0.0
Muriwai 5kW + Batteries,2026-09-06T23:00:00+12:00,0.0,0.081,0.081,0.0
Muriwai 5kW + Batteries,2026-09-06T23:30:00+12:00,0.0,0.075,0.075,0.0
Muriwai 5kW + Batteries,2026-09-07T00:00:00+12:00,0.0,0.073,0.073,0.0
Muriwai 5kW + Batteries,2026-09-07T00:30:00+12:00,0.0,0.066,0.066,0.0
